case_id,input,issue_category,system,meter_type,meter_model,error_code,support_level,missing_information,resolution,resolution_source
29586,"Title: Sheraton Sharm - Error 81
System Info: Error 81
Tags: Hardware; PI; PWM; Sheraton Sharm",Hardware,Unknown,Unknown,Unknown,81,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29585,"Title: New Giza: Delete Duplicated Readings
System Info: Missing Invoice
Tags: CI; New giza; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29584,"Title: New Giza: Missing invoice
System Info: Missing Invoice
Tags: CI; New giza; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29583,"Title: Chinese Village Mall- Card socket security issue
Tags: Chinese Mall; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29581,"Title: La quenta- Add meter and customer
Tags: CI; Laquenta; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29580,"Title: Alex - Add new user
Tags: ADC; Alex; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29579,"Title: La quenta- Reject 02
System Info: La quenta
Tags: Hardware; Laquenta; PI; PWM",Hardware,Unknown,Unknown,Unknown,02,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29577,"Title: New Giza: Missing Invoice
System Info: Missing Invoice
Tags: CI; New giza; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29570,"Title: Icon: Checking meter charges
Tags: aqua; CI; Icon; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29569,"Title: Benha - Utility Water Meter Maintenance
Tags: Hardware; PI; PWM; Utility",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29568,"Title: Tanta - Utility Water Meter Maintenance
Tags: Hardware; PI; PWM; Utility",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29567,"Title: Zayed - Utility Water Meter Maintenance
Tags: Hardware; PI; PWM; Utility",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29566,"Title: Elsewedy utilities- Collection card gives error when reading it
Tags: PI; Software; Utilities; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29565,"Title: Private Sector Meters Maintenance Follow-up
Tags: Factory; Hardware; PEM; PI
History: Followed up on maintenance claims for private-sector meters, managed and oversaw the entire process cycle, and ensured progress on all pending and on-hold claims by resolving underlying issues.",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,"Followed up on maintenance claims for private-sector meters, managed and oversaw the entire process cycle, and ensured progress on all pending and on-hold claims by resolving underlying issues.",history
29564,"Title: Marriott Residence - Electrical Meters New Configuration
Tags: Hardware; Marriott; PEM; PI
History: Checked and tested all the meters' HDLC configuration for 3 of the 4 left newly finished floors (couldn't access the 4th floor). Successfully configured one control module (Agatel) and checked and tested 3 more of the same module.",Hardware|Communication,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Checked and tested all the meters' HDLC configuration for 3 of the 4 left newly finished floors (couldn't access the 4th floor). Successfully configured one control module (Agatel) and checked and tested 3 more of the same module.,history
29563,"Title: Sun Capital - Electrical And Water Meters Communication troubleshooting
Tags: Hardware; PI; SEM; Suncapital",Hardware|Communication,Electric,Water|Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29562,"Title: 10th of ramadan - Utility electrical meter maintenance
Tags: Hardware; PEM; PI; Utility",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29561,"Title: Elsewedy E&C - Maintenance Inquiry
Tags: CI; E&C; Hardware; PWM",Software|Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29560,"Title: UEDC - Meter Previous Consumption Inquiry
Tags: CI; Hardware; Inquiry; PEM; UEDC",Software|Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29559,"Title: Family House - IC 105
System Info: IC-0105
Tags: CI; Family House; Hardware; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29558,"Title: Electronile - Printer Error Inquiry
Tags: CI; Electronile; Inquiry; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29557,"Title: La Vie - No Consumption Detection
Tags: Hardware; lavie; PI; STS",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29556,"Title: La Vie - Valve Issue
Tags: CI; Hardware; lavie; STS",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29555,"Title: La Vie - Reject 02
System Info: Reject-02
Tags: CI; lavie; SMS; Software",Software,Unknown,Unknown,Unknown,02,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29554,"Title: Ecklat Portsaid - Reject 02
System Info: Reject-02
Tags: CI; Ecklat; SMS; Software",Software,Unknown,Unknown,Unknown,02,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29553,"Title: Motawe Group - Meter Consumption Issue
Tags: CI; Hardware; Motawe; PEM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29552,"Title: Roaya - Invoice Issue
System Info: Missing Invoice
Tags: PI; roaya; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29551,"Title: Electronile - Meterverse Update
Tags: Electronile; Meterverse; PI; Software",Software,MeterVerse,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29547,"Title: Emdad - Make control cards
Tags: aqua; CI; Emdad; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29546,"Title: Emdad - Make control cards
Tags: aqua; CI; Emdad; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29545,"Title: MEDC- Maintenance report
Tags: Hardware; MEDC; PEM; PI",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29542,"Title: Eko Mena - Meterverse updates
Tags: Eko Mena; Meterverse; PI; Software",Software,MeterVerse,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29541,"Title: Sidewalk - Meterverse Update
Tags: Meterverse; PI; Sidewalk; Software",Software,MeterVerse,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29540,"Title: Remco - Update tariff on MPMS
Tags: CI; MPMS; REMCO; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29539,"Title: Remco - Update tariff on MPMS
Tags: CI; MPMS; REMCO; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29538,"Title: Elkhamayel - Reset water meter
Tags: aqua; CI; ElKhamayl; Software",Software,Aqua,Water,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29537,"Title: Elkhamayel - Reset water meters
Tags: aqua; CI; ElKhamayl; Software",Software,Aqua,Water,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29536,"Title: Elkhamayel - Inquiry regarding friendly time
Tags: aqua; CI; ElKhamayl; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29535,"Title: Taqa - Can not access billing software
Tags: billing; CI; Software; Taqa",Software,Billing,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29533,"Title: Marriott Residence - Electrical Meters New Configuration
Tags: Hardware; Marriott; PI; SEM; W",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29532,"Title: Marriott Residence - Electrical Meters New Configuration
Tags: Hardware; Marriott; PI; SEM; W",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29531,"Title: El-Abd - New installation for contactor and CT
Tags: CI; ElAbd; Hardware; O/S; PEM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29530,"Title: New Heliopolis - IC 0004
System Info: IC 0004
Tags: CI; Hardware; NewHeliopolis; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29529,"Title: 10th of Ramadan - Electrical Meter Maintenance
Tags: CDC; CI; Hardware; SEM; SLA; Utility",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29528,"Title: New Cairo - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29527,"Title: New Obour - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29526,"Title: Obour - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29525,"Title: Caribbeano - Reinitialize faulty meter
Tags: Caribbeano; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29524,"Title: Caribeano- Java cards are not read
Tags: Caribbeano; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29523,"Title: Emdad- Check tariff
Tags: aqua; CI; Emaar; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29521,"Title: Emdad- Inquiry about tariff card
Tags: aqua; CI; Emdad; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29520,"Title: Deyar Elharam - Meterverse Deployment
Tags: CI; Deyar Elharam; Meterverse; Software",Software,MeterVerse,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29519,"Title: SCDC - 15th of May - Meter inspection report
Tags: CI; Hardware; PEM; PI; Scdc; Utility; W",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29518,"Title: Ecklat Portsaid - Open account
System Info: Rejected 02
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29517,"Title: Ecklat Portsaid - Open account
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29516,"Title: Ecklat Portsaid - Open acount
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29515,"Title: Ecklat Portsaid - Open account
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29514,"Title: MEDC- Stamp order request
Tags: Hardware; MEDC; PEM; PI",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29513,"Title: Ecklat Portsaid - Rejected 02
System Info: Rejected 02
Tags: CI; Ecklat; Hardware; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29512,"Title: Light Power - Steps for settlements on software
Tags: CI; Lightpower; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29511,"Title: Ecklat Portsaid - Open account
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29510,"Title: Ecklat Portasaid - Rejected 02
System Info: Rejected 02
Tags: CI; Ecklat; Hardware; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29509,"Title: Ora- Maintenance follow up
Tags: Hardware; Ora; PI; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29508,"Title: UEDC- Check meter's consumption
Tags: Hardware; PEM; PI; UEDC",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29506,"Title: Elsewedy E&C - Initiating maintenance cycle
Tags: CI; Elsewedy E&C; Hardware; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29503,"Title: Ona Electric - Change tariff
Tags: CI; Ona; Software; vending",Software,Vending|Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29500,"Title: UEDC - Inquiry about User and POS info
Tags: CI; Software; UEDC; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29499,"Title: Light Power - Change password for user
Tags: CI; Lightpower; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29495,"Title: Light power - Update friendly time
Tags: CI; Lightpower; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29494,"Title: Private sector meters maintenance follow up
Tags: Hardware; PI; Private; SEM; W",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29493,"Title: New Giza - Err 70 with customer card on 3ph meters
System Info: Err 70
Tags: CI; Hardware; Newgiza; PEM",Hardware,Unknown,Unknown,Unknown,70,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29492,"Title: Shrouk - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29491,"Title: Badr - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29490,"Title: 10th of ramadan - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29489,"Title: 10th of ramadan - Utility electrical meter maintenance
Tags: CDC; CI; Hardware; SEM; SLA; Utility",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29488,"Title: Injaz - GPRS module installation demonstration for customer
Tags: CI; Hardware; Injaz; SEM; W",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29487,"Title: Fanadir - Err 201 with reset card
System Info: Err 201
Tags: CI; Fanadir; Hardware; PEM",Hardware,Unknown,Unknown,Unknown,201,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29486,"Title: UEDC- Wrong settlement on meter
Tags: Hardware; PEM; PI; UEDC",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29485,"Title: Electronile- Problem with meter consumption
Tags: Electronile; Hardware; PEM; PI",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29484,"Title: Fanadir - Err 103 on V5 meter
System Info: Err 103
Tags: CI; Fanadir; Hardware; PEM",Hardware,Unknown,Unknown,Unknown,103,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29481,"Title: Fanadir - Steps to open account on V5 meter
Tags: CI; Fanadir; Hardware; PEM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29480,"Title: MEDC- Inquiry about diff in meters' number in maintenance
Tags: Hardware; MEDC; PEM; PI",Software|Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29479,"Title: Fanadir - Error 400 with customer card
System Info: Err 400
Tags: CI; Fanadir; Hardware; PEM",Hardware,Unknown,Unknown,Unknown,400,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29478,"Title: Ecklat portsaid - Open account
Tags: CI; Ecklat; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29477,"Title: Mountain View - Update electricity tariff
Tags: CI; Mountain View; PVMS; Software",Software,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29476,"Title: New Heliopolis - IC-101
System Info: IC-101
Tags: Hardware; New Heliopolis; PI; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29475,"Title: Qena Gardens - Delete settlement
System Info: Missing Feature
Tags: aqua; CI; Qena Gardens; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29474,"Title: Hurghada hub - Delete charge
System Info: Missing Feature
Tags: CI; Hurghada Hub; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29120,"Title: New Heliopolis- Change meter status to new
Tags: aqua; CI; New Heliopolis; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29119,"Title: New Heliopolis- Reinitialize meter
Tags: aqua; CI; New Heliopolis; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29118,"Title: Elgouna- Inquiry about meters down due to communication
Tags: CI; Gouna; Smart; Software",Software|Communication,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29117,"Title: Alex - Open access for account
Tags: Alex; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29116,"Title: Sun Capital - Generate reports
Tags: CI; Smart; Software; Suncapital",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29115,"Title: Petra gate - Can not open new account for V5 meter
Tags: CI; Petra Gate; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29114,"Title: Carribeano - Err 0201 on V5 meter
System Info: Err 0201
Tags: Caribbeano; CI; Hardware; PEM",Hardware,Unknown,Unknown,Unknown,0201,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model,Not available from verified source data.,none
29113,"Title: 6th of October - Utility water meter maintenance
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29112,"Title: Elkhamayel - Utility water meter maintenance
Tags: ElKhamayl; Hardware; PI; PWM; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29111,"Title: Ona electric - Inquiry about customer settlement after resetting meter
Tags: CI; Hardware; Ona; PEM",Software|Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29110,"Title: 10th of Ramadan - Utility electrical meter maintenance
Tags: CDC; CI; Hardware; SEM; SLA; Utility",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29109,"Title: Sun Capital - Electrical And Water Meters Communication troubleshooting
Tags: CI; Hardware; SEM; Suncapital; W",Hardware|Communication,Electric,Water|Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
