Account,District,POS,Case Type,Date,Meter Number / Customer Number,Meter Type,Case Details,Action Taken,Error Code,Case Category,Case Severity,Status,Action Owner,Comment,source_year,Categories,FM team member
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303220555,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303220554,ME514-V4,The meter gives error 400 (wrong charge sequence),Charging sequence was retrieved from the meter and they are 27 and reported to the software team,400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302253990,ME514-V4,The meter gives error 400 (wrong charge sequence),Charging sequence was retrieved from the meter and they are 13 and reported to the software team,400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Middle,Basatin,Maintenance,2020-01-12,404214716,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,South,Ayaat,Maintenance,2020-01-12,207241241,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-12,102209549,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,South,Maadi,Maintenance,2020-01-12,201218951,ME514-V4,The customer need to charge and error message (database error) shows up,The customer number was reported to the software team and they added the initial key and case solved,Database error,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-12,102234023,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,South,Abu El Nomros,Maintenance,2020-01-12,204205953,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-12,102238400,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-12,301249901,ME514-V4,The customer need to charge and error message (database error) shows up,The customer number was reported to the software team and they added the initial key and case solved,Database error,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-12,20088878,ME514-V4,The password key is bugged to be 0 and the meter gives error 802,the password key was inserted with the VTC tool in the meter and case solved,802,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,Middle,Basatin,Maintenance,2020-01-12,20081755,ME514-V4,The password key is bugged to be 0 and the meter gives error 802,the password key was inserted with the VTC tool in the meter and case solved,802,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-12,20085905,ME514-V4,The password key is bugged to be 0 and the meter gives error 802,the password key was inserted with the VTC tool in the meter and case solved,802,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,20134237,ME514-V4,The password key is bugged to be 0 and the meter gives error 802,the password key was inserted with the VTC tool in the meter and case solved,802,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,20107250,ME514-V4,The meter gives error 106 as it has wrong data ,Mend card was made and issue Solved,106,Charging Issue,Major,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,203925274,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20158956,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20085921,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20086532,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20099510,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20084137,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20393036,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20084337,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20085946,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20382804,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20392762,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20382844,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20158953,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20129996,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20077484,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20099509,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20129560,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20086722,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20284096,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20102498,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20395011,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The meter is healthy and reset and Out of factory made,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20158304,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,The Alarm LED was broken and the factory will fix it ,LED,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20087008,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,One resistance is broken and need the technician from the factory,Power,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-13,20113240,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,the card inlet house was damaged and needs to be fixed by the technician,Card inlet house,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20110672,ME514-V4,The meter Password key gone 00 and also meter number customer number all turned to be zero,the password key was inserted with the VTC tool in the meter and case solved,802,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20114706,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20285562,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20101956,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20384576,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20319855,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20385040,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20326895,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20104731,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20171775,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20170478,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20151573,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20316522,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20288791,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20301673,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20131411,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20150121,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20165940,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20277604,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter has power problem and need the technician to fix it,Power,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20311887,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter has power problem and need the technician to fix it,Power,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20384729,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter has power problem and need the technician to fix it,Power,Hardware,Minor,In Progress,Customer,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20123777,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20093211,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20289334,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,102248976,ME514-V4,Two customers shared the same customer number which is supposed to be unique,The software team was reported with the case and changed the number of one customer with a new free one,Duplicate Customer number,Vending Software Bug,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-14,20174362,ME514-V4,The meter gives error 106 as it has wrong data ,Mend card was made and issue Solved,106,Charging Issue,Major,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,201622368,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,201268543,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-14,20093600,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20326230,ME514-V4,SCDC management asked to check the meter and if healthy  reset the meter,the card inlet house was damaged and needs to be fixed by the technician and was done @ 19 -09-2020,Card inlet house,Hardware,Minor,Done,Factory,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-15,301286521,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20294583,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20371008,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20110957,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20111927,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20110289,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20284931,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20326290,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20324983,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20311760,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20089448,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20132592,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20109676,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20144439,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20277654,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20408959,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20090588,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20288427,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20104151,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20295454,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20103685,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20107952,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20130453,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20160215,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20314100,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20156392,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20302025,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20383202,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20133284,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20411459,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20101513,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20132594,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20303090,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20384113,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
SCDC,Haram,Haram,Maintenance,2020-01-15,20114518,ME514-V4,The meter located in the warehouse needed to be checked to be released again,The meter only need reset and out of factory action,,Meter Inspection,Minor,Done,Service Management,-,2020,,
